SalesOrderID,Customer,TotalAmount,CaseKey,Product,ShippingCondition,DeliveryDatePassed
SO035,C010,18390,SOI85,P133,Standard,1
SO035,C010,18390,SOI86,P123,Standard,1
SO036,C015,10100,SOI87,P129,Express,1
SO036,C015,10100,SOI88,P114,Express,1
SO036,C015,10100,SOI89,P102,Express,0
SO036,C015,10100,SOI90,P119,Standard,0
SO037,C009,12450,SOI91,P122,Standard,0
SO037,C009,12450,SOI92,P129,Standard,1
SO037,C009,12450,SOI93,P132,Standard,1
SO037,C009,12450,SOI94,P122,Express,1
SO038,C010,8550,SOI95,P131,Express,0
SO038,C010,8550,SOI96,P100,Express,0
SO038,C010,8550,SOI97,P129,Standard,0
SO038,C010,8550,SOI98,P131,Express,1
SO039,C003,10680,SOI99,P134,Standard,0
SO039,C003,10680,SOI100,P117,Express,1
SO039,C003,10680,SOI101,P134,Express,0
SO040,C009,9230,SOI102,P122,Express,0
SO040,C009,9230,SOI103,P132,Express,0
SO040,C009,9230,SOI104,P117,Standard,1
SO040,C009,9230,SOI105,P117,Standard,0
SO041,C001,17930,SOI106,P130,Express,0
SO041,C001,17930,SOI107,P113,Standard,0
SO041,C001,17930,SOI108,P132,Express,0
SO041,C001,17930,SOI109,P105,Express,1
SO042,C015,10000,SOI110,P118,Standard,0
SO042,C015,10000,SOI111,P110,Express,0
SO042,C015,10000,SOI112,P131,Express,1
SO043,C006,5100,SOI113,P118,Standard,0
SO043,C006,5100,SOI114,P128,Standard,0
SO044,C003,4650,SOI115,P123,Express,1
SO044,C003,4650,SOI116,P108,Standard,1
SO044,C003,4650,SOI117,P122,Standard,1
SO045,C012,10000,SOI118,P133,Express,1
SO046,C008,9900,SOI119,P123,Standard,0
SO046,C008,9900,SOI120,P129,Standard,1
SO046,C008,9900,SOI121,P129,Standard,0
SO046,C008,9900,SOI122,P134,Express,1
SO047,C009,8320,SOI123,P113,Express,1
SO047,C009,8320,SOI124,P106,Standard,1
SO047,C009,8320,SOI125,P134,Standard,0
SO047,C009,8320,SOI126,P108,Express,0
SO048,C005,8450,SOI127,P134,Standard,1
SO048,C005,8450,SOI128,P128,Express,0
SO049,C015,6400,SOI129,P133,Express,0
SO049,C015,6400,SOI130,P123,Express,1
SO050,C013,1800,SOI131,P119,Standard,0
SO051,C010,4080,SOI132,P134,Standard,0
SO051,C010,4080,SOI133,P130,Express,1
SO051,C010,4080,SOI134,P113,Express,0
SO051,C010,4080,SOI135,P123,Standard,1
SO052,C011,9550,SOI136,P127,Standard,1
SO052,C011,9550,SOI137,P118,Express,0
SO052,C011,9550,SOI138,P127,Standard,0
SO052,C011,9550,SOI139,P128,Express,1
SO053,C005,4100,SOI140,P123,Standard,0
SO053,C005,4100,SOI141,P128,Standard,0
SO053,C005,4100,SOI142,P122,Standard,0
SO053,C005,4100,SOI143,P129,Express,1
SO054,C010,900,SOI144,P127,Standard,0
SO055,C009,17545,SOI145,P133,Express,1
SO055,C009,17545,SOI146,P112,Express,1
SO055,C009,17545,SOI147,P100,Express,1
SO056,C012,1250,SOI148,P128,Standard,0
SO057,C009,5790,SOI149,P102,Express,1
SO057,C009,5790,SOI150,P127,Standard,0
SO057,C009,5790,SOI151,P123,Express,1
SO057,C009,5790,SOI152,P113,Express,1
SO058,C009,4650,SOI153,P122,Express,0
SO058,C009,4650,SOI154,P100,Standard,0
SO059,C014,9510,SOI155,P134,Express,0
SO059,C014,9510,SOI156,P117,Express,1
SO059,C014,9510,SOI157,P105,Standard,1
SO059,C014,9510,SOI158,P131,Express,0
SO060,C013,5450,SOI159,P134,Standard,1
SO060,C013,5450,SOI160,P121,Express,0
SO061,C009,4430,SOI161,P118,Standard,0
SO061,C009,4430,SOI162,P120,Express,1
SO061,C009,4430,SOI163,P122,Standard,0
SO061,C009,4430,SOI164,P134,Express,0
SO062,C004,12390,SOI165,P134,Standard,0
SO062,C004,12390,SOI166,P134,Standard,0
SO062,C004,12390,SOI167,P105,Standard,0
SO062,C004,12390,SOI168,P109,Standard,0
SO063,C014,4500,SOI169,P132,Express,1
SO064,C015,18300,SOI170,P119,Standard,0
SO064,C015,18300,SOI171,P100,Standard,0
SO064,C015,18300,SOI172,P129,Express,1
SO064,C015,18300,SOI173,P131,Express,1
SO065,C006,9000,SOI174,P119,Standard,1
SO065,C006,9000,SOI175,P119,Standard,1
SO066,C015,640,SOI176,P113,Express,1
SO067,C011,8700,SOI177,P123,Standard,0
SO067,C011,8700,SOI178,P119,Standard,0
SO067,C011,8700,SOI179,P100,Express,1
SO068,C003,1200,SOI180,P123,Standard,1
SO069,C015,8350,SOI181,P128,Standard,0
SO069,C015,8350,SOI182,P134,Standard,0
SO069,C015,8350,SOI183,P118,Standard,0
SO070,C015,6000,SOI184,P100,Standard,1
SO071,C010,4080,SOI185,P122,Express,1
SO071,C010,4080,SOI186,P120,Standard,0
SO071,C010,4080,SOI187,P113,Standard,1
SO072,C015,5700,SOI188,P134,Express,1
SO072,C015,5700,SOI189,P123,Express,0
SO073,C002,19550,SOI190,P134,Standard,1
SO073,C002,19550,SOI191,P131,Express,1
SO073,C002,19550,SOI192,P119,Express,1
SO073,C002,19550,SOI193,P127,Express,1
SO074,C012,10200,SOI194,P130,Standard,0
SO074,C012,10200,SOI195,P122,Express,0
SO074,C012,10200,SOI196,P122,Express,0
SO075,C003,8100,SOI197,P134,Standard,0
SO076,C010,1200,SOI198,P116,Express,1
SO076,C010,1200,SOI199,P105,Standard,0
SO077,C015,5700,SOI200,P123,Standard,0
SO077,C015,5700,SOI201,P134,Standard,0
SO078,C002,6930,SOI202,P108,Express,1
SO078,C002,6930,SOI203,P106,Express,0
SO078,C002,6930,SOI204,P122,Express,1
SO078,C002,6930,SOI205,P134,Express,1
SO079,C005,3000,SOI206,P118,Express,1
SO079,C005,3000,SOI207,P123,Express,0
SO080,C013,15850,SOI208,P133,Express,0
SO080,C013,15850,SOI209,P128,Standard,0
SO080,C013,15850,SOI210,P129,Express,1
SO080,C013,15850,SOI211,P132,Standard,0
SO081,C012,35350,SOI212,P119,Express,1
SO081,C012,35350,SOI213,P118,Express,0
SO081,C012,35350,SOI214,P133,Express,1
SO081,C012,35350,SOI215,P129,Standard,1
SO082,C002,1750,SOI216,P122,Standard,0
SO083,C015,12100,SOI217,P133,Standard,1
SO083,C015,12100,SOI218,P123,Standard,0
SO084,C001,1550,SOI219,P120,Standard,0
SO084,C001,1550,SOI220,P117,Standard,1
SO085,C003,2450,SOI221,P122,Standard,1
SO086,C004,8100,SOI222,P134,Express,1
SO087,C010,6600,SOI223,P100,Standard,1
SO087,C010,6600,SOI224,P129,Standard,0
SO087,C010,6600,SOI225,P123,Standard,1
SO087,C010,6600,SOI226,P129,Express,1
SO088,C011,17500,SOI227,P132,Express,1
SO088,C011,17500,SOI228,P130,Express,0
SO089,C013,2100,SOI229,P122,Express,1
SO090,C003,11880,SOI230,P118,Express,1
SO090,C003,11880,SOI231,P120,Express,0
SO090,C003,11880,SOI232,P104,Standard,0
SO091,C015,5650,SOI233,P134,Express,0
SO091,C015,5650,SOI234,P128,Express,0
SO091,C015,5650,SOI235,P122,Standard,0
SO091,C015,5650,SOI236,P105,Express,1
SO092,C013,120,SOI237,P106,Standard,0
SO093,C001,2700,SOI238,P123,Express,1
SO094,C013,900,SOI239,P123,Standard,1
SO095,C004,1675,SOI240,P123,Express,0
SO095,C004,1675,SOI241,P112,Standard,0
SO095,C004,1675,SOI242,P128,Standard,0
SO096,C003,17520,SOI243,P133,Express,0
SO096,C003,17520,SOI244,P123,Express,0
SO096,C003,17520,SOI245,P109,Express,1
SO096,C003,17520,SOI246,P121,Express,1
SO097,C008,840,SOI247,P117,Express,1
SO098,C012,4700,SOI248,P128,Standard,0
SO098,C012,4700,SOI249,P122,Express,1
SO098,C012,4700,SOI250,P119,Express,1
SO098,C012,4700,SOI251,P129,Standard,0
SO099,C013,1800,SOI252,P101,Standard,0
SO100,C002,2800,SOI253,P122,Standard,0
SO101,C010,5600,SOI254,P131,Standard,0
SO102,C015,1000,SOI255,P130,Standard,1
SO103,C012,15200,SOI256,P131,Standard,0
SO103,C012,15200,SOI257,P118,Standard,0
SO103,C012,15200,SOI258,P118,Express,0
SO104,C009,14400,SOI259,P123,Express,0
SO104,C009,14400,SOI260,P132,Express,0
SO105,C009,11750,SOI261,P134,Standard,0
SO105,C009,11750,SOI262,P122,Express,1
SO105,C009,11750,SOI263,P123,Express,0
SO105,C009,11750,SOI264,P122,Express,1
SO106,C015,3240,SOI265,P130,Standard,0
SO106,C015,3240,SOI266,P117,Standard,0
SO107,C009,9085,SOI267,P112,Standard,0
SO107,C009,9085,SOI268,P130,Standard,1
SO107,C009,9085,SOI269,P109,Express,0
SO107,C009,9085,SOI270,P116,Express,1
SO108,C010,13400,SOI271,P133,Standard,0
SO108,C010,13400,SOI272,P117,Express,1
SO109,C009,11220,SOI273,P123,Express,0
SO109,C009,11220,SOI274,P119,Standard,0
SO109,C009,11220,SOI275,P117,Express,1
SO110,C015,5150,SOI276,P122,Express,0
SO110,C015,5150,SOI277,P128,Standard,1
SO111,C009,2750,SOI278,P122,Standard,0
SO111,C009,2750,SOI279,P123,Standard,0
SO112,C010,7600,SOI280,P131,Standard,0
SO112,C010,7600,SOI281,P122,Express,0
SO113,C009,860,SOI282,P123,Standard,0
SO113,C009,860,SOI283,P108,Express,1
SO114,C004,5400,SOI284,P134,Express,0
SO115,C010,100,SOI285,P105,Express,1
SO116,C015,14400,SOI286,P119,Express,1
SO116,C015,14400,SOI287,P132,Standard,0
SO116,C015,14400,SOI288,P131,Express,1
SO117,C011,18600,SOI289,P130,Standard,0
SO117,C011,18600,SOI290,P134,Express,0
SO117,C011,18600,SOI291,P134,Express,1
SO117,C011,18600,SOI292,P129,Express,0
SO118,C007,1700,SOI293,P123,Standard,0
SO118,C007,1700,SOI294,P128,Express,1
SO119,C005,11120,SOI295,P118,Standard,0
SO119,C005,11120,SOI296,P108,Express,1
SO119,C005,11120,SOI297,P100,Standard,0
SO120,C015,560,SOI298,P117,Express,0
SO121,C014,15050,SOI299,P118,Standard,0
SO121,C014,15050,SOI300,P134,Express,0
SO121,C014,15050,SOI301,P100,Standard,0
SO121,C014,15050,SOI302,P122,Express,1
SO122,C013,15150,SOI303,P132,Express,1
SO122,C013,15150,SOI304,P134,Express,1
SO122,C013,15150,SOI305,P127,Standard,0
SO123,C013,12000,SOI306,P122,Express,1
SO123,C013,12000,SOI307,P119,Standard,0
SO123,C013,12000,SOI308,P122,Standard,0
SO123,C013,12000,SOI309,P119,Express,0
SO124,C009,17540,SOI310,P122,Express,1
SO124,C009,17540,SOI311,P129,Express,1
SO124,C009,17540,SOI312,P118,Standard,0
SO124,C009,17540,SOI313,P117,Express,1
SO125,C010,24400,SOI314,P134,Standard,0
SO125,C010,24400,SOI315,P133,Standard,1
SO125,C010,24400,SOI316,P130,Express,0
SO126,C003,14430,SOI317,P122,Express,0
SO126,C003,14430,SOI318,P130,Standard,0
SO126,C003,14430,SOI319,P119,Express,1
SO126,C003,14430,SOI320,P117,Standard,0
SO127,C009,9300,SOI321,P123,Express,1
SO127,C009,9300,SOI322,P123,Express,0
SO127,C009,9300,SOI323,P134,Express,0
SO128,C015,10350,SOI324,P134,Standard,0
SO128,C015,10350,SOI325,P134,Express,0
SO128,C015,10350,SOI326,P123,Standard,0
SO128,C015,10350,SOI327,P122,Express,0
SO129,C009,14860,SOI328,P100,Express,0
SO129,C009,14860,SOI329,P119,Express,0
SO129,C009,14860,SOI330,P117,Standard,1
SO130,C004,9080,SOI331,P113,Express,0
SO130,C004,9080,SOI332,P134,Standard,0
SO130,C004,9080,SOI333,P117,Express,1
SO131,C002,11600,SOI334,P100,Standard,0
SO131,C002,11600,SOI335,P131,Standard,0
SO132,C003,4500,SOI336,P134,Express,1
SO133,C001,6375,SOI337,P120,Express,1
SO133,C001,6375,SOI338,P112,Express,1
SO133,C001,6375,SOI339,P118,Standard,0
SO134,C006,3850,SOI340,P122,Express,1
SO134,C006,3850,SOI341,P117,Standard,1
SO134,C006,3850,SOI342,P102,Express,0
SO135,C003,16000,SOI343,P131,Standard,0
SO135,C003,16000,SOI344,P118,Standard,1
SO136,C003,3640,SOI345,P113,Express,1
SO136,C003,3640,SOI346,P132,Standard,1
SO137,C015,1750,SOI347,P102,Express,1
SO138,C015,12180,SOI348,P109,Standard,0
SO138,C015,12180,SOI349,P123,Standard,0
SO138,C015,12180,SOI350,P117,Standard,0
SO138,C015,12180,SOI351,P134,Standard,0
SO139,C009,9600,SOI352,P133,Express,1
SO139,C009,9600,SOI353,P131,Express,0
SO140,C015,14340,SOI354,P117,Express,0
SO140,C015,14340,SOI355,P100,Standard,1
SO141,C015,2870,SOI356,P122,Standard,1
SO141,C015,2870,SOI357,P109,Standard,0
SO142,C009,12150,SOI358,P131,Express,1
SO142,C009,12150,SOI359,P129,Standard,1
SO142,C009,12150,SOI360,P134,Standard,0
SO143,C014,2260,SOI361,P128,Express,0
SO143,C014,2260,SOI362,P117,Standard,0
SO143,C014,2260,SOI363,P121,Express,1
SO144,C004,18300,SOI364,P134,Express,0
SO144,C004,18300,SOI365,P118,Express,1
SO144,C004,18300,SOI366,P132,Standard,0
SO144,C004,18300,SOI367,P123,Express,1
SO145,C009,90,SOI368,P120,Express,0
SO146,C004,1740,SOI369,P120,Standard,0
SO146,C004,1740,SOI370,P119,Standard,1
SO146,C004,1740,SOI371,P123,Express,0
SO147,C004,18750,SOI372,P134,Standard,0
SO147,C004,18750,SOI373,P134,Standard,0
SO147,C004,18750,SOI374,P118,Standard,1
SO147,C004,18750,SOI375,P127,Express,1
SO148,C003,3700,SOI376,P128,Standard,0
SO148,C003,3700,SOI377,P122,Express,1
SO149,C009,3340,SOI378,P117,Express,1
SO149,C009,3340,SOI379,P130,Express,1
SO149,C009,3340,SOI380,P128,Express,1
SO150,C003,7350,SOI381,P117,Standard,1
SO150,C003,7350,SOI382,P118,Standard,0
SO150,C003,7350,SOI383,P120,Express,1
SO150,C003,7350,SOI384,P128,Express,1
SO151,C015,3470,SOI385,P112,Express,1
SO151,C015,3470,SOI386,P123,Express,1
SO151,C015,3470,SOI387,P122,Standard,0
SO151,C015,3470,SOI388,P106,Express,1
SO152,C013,13500,SOI389,P100,Express,1
SO153,C015,14200,SOI390,P134,Express,1
SO153,C015,14200,SOI391,P130,Standard,1
SO153,C015,14200,SOI392,P134,Express,1
SO154,C012,4900,SOI393,P119,Standard,1
SO154,C012,4900,SOI394,P122,Express,1
SO154,C012,4900,SOI395,P128,Standard,0
SO155,C014,18300,SOI396,P133,Standard,1
SO155,C014,18300,SOI397,P127,Standard,1
SO156,C013,7500,SOI398,P132,Standard,0
SO157,C015,12000,SOI399,P132,Standard,0
SO157,C015,12000,SOI400,P118,Standard,0
SO157,C015,12000,SOI401,P119,Express,0
SO158,C004,10900,SOI402,P122,Express,0
SO158,C004,10900,SOI403,P122,Standard,1
SO158,C004,10900,SOI404,P133,Standard,0
SO159,C013,6280,SOI405,P109,Express,1
SO159,C013,6280,SOI406,P122,Standard,0
SO159,C013,6280,SOI407,P134,Express,0
SO159,C013,6280,SOI408,P134,Express,0
SO160,C001,960,SOI409,P129,Express,0
SO160,C001,960,SOI410,P112,Express,1
SO161,C010,8000,SOI411,P133,Standard,1
SO162,C009,4000,SOI412,P119,Standard,1
SO162,C009,4000,SOI413,P108,Standard,0
SO163,C012,2800,SOI414,P122,Express,1
SO164,C012,15000,SOI415,P119,Standard,0
SO164,C012,15000,SOI416,P100,Express,1
SO165,C010,3450,SOI417,P118,Standard,0
SO165,C010,3450,SOI418,P122,Standard,0
SO166,C008,26000,SOI419,P133,Express,0
SO166,C008,26000,SOI420,P133,Standard,0
SO167,C009,23640,SOI421,P117,Express,0
SO167,C009,23640,SOI422,P130,Express,1
SO167,C009,23640,SOI423,P117,Express,1
SO167,C009,23640,SOI424,P133,Express,1
SO168,C014,13150,SOI425,P118,Standard,0
SO168,C014,13150,SOI426,P122,Express,0
SO168,C014,13150,SOI427,P134,Standard,0
SO168,C014,13150,SOI428,P128,Express,1
SO169,C015,1500,SOI429,P128,Standard,0
SO170,C005,1550,SOI430,P132,Express,1
SO170,C005,1550,SOI431,P105,Standard,0
SO171,C010,160,SOI432,P108,Express,1
SO172,C009,800,SOI433,P131,Express,1
SO173,C009,35800,SOI434,P132,Express,1
SO173,C009,35800,SOI435,P132,Standard,1
SO173,C009,35800,SOI436,P123,Standard,0
SO173,C009,35800,SOI437,P133,Standard,0
SO174,C009,18840,SOI438,P120,Express,0
SO174,C009,18840,SOI439,P118,Express,1
SO174,C009,18840,SOI440,P134,Express,1
SO174,C009,18840,SOI441,P134,Express,1
SO175,C010,3230,SOI442,P108,Standard,0
SO175,C010,3230,SOI443,P122,Standard,1
SO175,C010,3230,SOI444,P120,Express,0
SO176,C014,3750,SOI445,P134,Express,0
SO176,C014,3750,SOI446,P105,Standard,1
SO177,C015,15450,SOI447,P132,Express,0
SO177,C015,15450,SOI448,P100,Express,1
SO177,C015,15450,SOI449,P129,Express,0
SO178,C006,22800,SOI450,P132,Standard,0
SO178,C006,22800,SOI451,P132,Express,0
SO178,C006,22800,SOI452,P118,Standard,0
SO178,C006,22800,SOI453,P119,Standard,0
SO179,C012,360,SOI454,P106,Standard,0
SO180,C002,25200,SOI455,P132,Express,0
SO180,C002,25200,SOI456,P132,Express,1
SO180,C002,25200,SOI457,P131,Standard,0
SO180,C002,25200,SOI458,P119,Standard,1
SO181,C002,6500,SOI459,P128,Express,0
SO181,C002,6500,SOI460,P130,Express,1
SO182,C012,3950,SOI461,P131,Standard,0
SO182,C012,3950,SOI462,P122,Standard,0
SO183,C001,2945,SOI463,P102,Express,0
SO183,C001,2945,SOI464,P112,Express,0
SO183,C001,2945,SOI465,P113,Express,1
SO183,C001,2945,SOI466,P129,Standard,0
SO184,C012,18040,SOI467,P132,Standard,0
SO184,C012,18040,SOI468,P134,Express,0
SO184,C012,18040,SOI469,P130,Standard,0
SO184,C012,18040,SOI470,P113,Express,1
SO185,C015,12000,SOI471,P133,Standard,0
SO186,C006,1510,SOI472,P113,Standard,0
SO186,C006,1510,SOI473,P129,Standard,0
SO187,C008,17160,SOI474,P132,Express,1
SO187,C008,17160,SOI475,P132,Standard,0
SO187,C008,17160,SOI476,P104,Express,0
SO187,C008,17160,SOI477,P106,Express,0
SO188,C009,8420,SOI478,P106,Standard,0
SO188,C009,8420,SOI479,P134,Express,1
SO189,C004,18300,SOI480,P128,Express,0
SO189,C004,18300,SOI481,P132,Standard,0
SO189,C004,18300,SOI482,P128,Standard,0
SO189,C004,18300,SOI483,P129,Express,1
SO190,C009,9450,SOI484,P118,Standard,0
SO190,C009,9450,SOI485,P129,Standard,0
SO191,C015,13700,SOI486,P117,Express,1
SO191,C015,13700,SOI487,P134,Standard,0
SO191,C015,13700,SOI488,P132,Standard,0
SO191,C015,13700,SOI489,P123,Standard,0
SO192,C002,330,SOI490,P120,Express,0
SO192,C002,330,SOI491,P127,Standard,1
SO193,C015,3100,SOI492,P130,Standard,0
SO193,C015,3100,SOI493,P122,Express,0
SO194,C009,1020,SOI494,P109,Express,1
SO194,C009,1020,SOI495,P129,Standard,1
SO195,C004,2700,SOI496,P134,Standard,0
SO196,C012,4195,SOI497,P129,Express,0
SO196,C012,4195,SOI498,P112,Express,1
SO196,C012,4195,SOI499,P128,Express,1
SO196,C012,4195,SOI500,P119,Standard,0
SO197,C005,27350,SOI501,P133,Standard,0
SO197,C005,27350,SOI502,P123,Express,1
SO197,C005,27350,SOI503,P100,Express,1
SO197,C005,27350,SOI504,P107,Express,1
SO198,C009,900,SOI505,P119,Standard,0
SO199,C015,10850,SOI506,P129,Standard,0
SO199,C015,10850,SOI507,P128,Standard,0
SO199,C015,10850,SOI508,P132,Express,0
SO200,C009,600,SOI509,P127,Standard,0
SO201,C012,7200,SOI510,P119,Express,1
SO202,C013,7680,SOI511,P122,Standard,1
SO202,C013,7680,SOI512,P123,Express,0
SO202,C013,7680,SOI513,P134,Express,1
SO202,C013,7680,SOI514,P113,Standard,0
SO203,C009,1500,SOI515,P131,Express,1
SO203,C009,1500,SOI516,P122,Standard,0
SO204,C001,15300,SOI517,P119,Standard,0
SO204,C001,15300,SOI518,P119,Standard,1
SO205,C015,7800,SOI519,P123,Standard,0
SO205,C015,7800,SOI520,P123,Express,0
SO205,C015,7800,SOI521,P118,Standard,0
SO206,C011,2080,SOI522,P130,Express,1
SO206,C011,2080,SOI523,P113,Express,1
SO207,C008,1680,SOI524,P117,Standard,0
SO208,C014,3000,SOI525,P134,Express,0
SO208,C014,3000,SOI526,P123,Standard,1
SO209,C003,1960,SOI527,P129,Express,1
SO209,C003,1960,SOI528,P106,Express,1
SO210,C013,1760,SOI529,P117,Express,1
SO210,C013,1760,SOI530,P106,Express,0
SO211,C009,900,SOI531,P123,Standard,0
SO212,C001,320,SOI532,P108,Express,1
SO213,C011,2240,SOI533,P117,Standard,0
SO214,C015,18650,SOI534,P110,Standard,0
SO214,C015,18650,SOI535,P128,Express,0
SO214,C015,18650,SOI536,P119,Standard,1
SO214,C015,18650,SOI537,P131,Express,1
SO215,C015,800,SOI538,P131,Standard,1
SO216,C012,20300,SOI539,P133,Standard,1
SO216,C012,20300,SOI540,P119,Standard,1
SO216,C012,20300,SOI541,P134,Express,1
SO217,C009,26700,SOI542,P133,Standard,0
SO217,C009,26700,SOI543,P132,Standard,0
SO217,C009,26700,SOI544,P129,Express,0
SO218,C015,8080,SOI545,P129,Standard,0
SO218,C015,8080,SOI546,P117,Express,1
SO218,C015,8080,SOI547,P122,Express,1
SO218,C015,8080,SOI548,P127,Express,0
SO219,C002,1800,SOI549,P129,Standard,1
SO220,C010,1050,SOI550,P111,Express,1
SO221,C002,21550,SOI551,P132,Standard,0
SO221,C002,21550,SOI552,P122,Standard,0
SO221,C002,21550,SOI553,P133,Express,1
SO222,C005,7830,SOI554,P120,Standard,0
SO222,C005,7830,SOI555,P100,Standard,1
SO222,C005,7830,SOI556,P123,Standard,0
SO223,C015,5475,SOI557,P119,Express,0
SO223,C015,5475,SOI558,P112,Express,0
SO224,C006,10800,SOI559,P118,Standard,1
SO225,C005,7050,SOI560,P132,Standard,0
SO225,C005,7050,SOI561,P122,Standard,0
SO226,C012,3550,SOI562,P133,Express,1
SO226,C012,3550,SOI563,P123,Standard,1
SO226,C012,3550,SOI564,P128,Express,1
SO227,C012,2600,SOI565,P128,Express,0
SO227,C012,2600,SOI566,P131,Express,1
SO228,C012,4050,SOI567,P122,Standard,0
SO228,C012,4050,SOI568,P119,Express,1
SO229,C001,12100,SOI569,P133,Express,1
SO229,C001,12100,SOI570,P122,Express,0
SO230,C001,3600,SOI571,P118,Standard,0
SO231,C010,12490,SOI572,P117,Express,1
SO231,C010,12490,SOI573,P132,Express,0
SO231,C010,12490,SOI574,P127,Standard,0
SO231,C010,12490,SOI575,P120,Standard,0
SO232,C009,5000,SOI576,P130,Express,1
SO232,C009,5000,SOI577,P130,Standard,0
SO233,C013,12300,SOI578,P119,Standard,0
SO233,C013,12300,SOI579,P100,Express,1
SO233,C013,12300,SOI580,P104,Standard,0
SO233,C013,12300,SOI581,P123,Express,1
SO234,C009,10990,SOI582,P130,Standard,0
SO234,C009,10990,SOI583,P103,Standard,0
SO234,C009,10990,SOI584,P122,Standard,1
SO235,C009,4640,SOI585,P115,Standard,1
SO235,C009,4640,SOI586,P113,Express,1
SO235,C009,4640,SOI587,P117,Express,0
SO236,C009,2400,SOI588,P118,Standard,1
SO237,C015,9000,SOI589,P130,Standard,0
SO238,C009,6700,SOI590,P108,Express,1
SO238,C009,6700,SOI591,P123,Express,0
SO238,C009,6700,SOI592,P119,Standard,0
SO239,C015,2800,SOI593,P123,Standard,0
